"refe_abrName","espn_team_name","espn_logo","primary","secondary","tertiary","quaternary"
"CAR","Carolina Hurricanes","https://a.espncdn.com/i/teamlogos/nhl/500/car.png","#cc0000","#000000","#a2aaad","#76232f"
"CHI","Chicago Blackhawks","https://a.espncdn.com/i/teamlogos/nhl/500/chi.png","#CF0A2C","#FF671B","#00833E","#ffd100"
"CBJ","Columbus Blue Jackets","https://a.espncdn.com/i/teamlogos/nhl/500/cbj.png","#002654","#ce1126","#A4A9AD",NA
"DAL","Dallas Stars","https://a.espncdn.com/i/teamlogos/nhl/500/dal.png","#006847","#8F8F8C","#111111",NA
"DET","Detroit Red Wings","https://a.espncdn.com/i/teamlogos/nhl/500/det.png","#ce1126","#FFFFFF",NA,NA
"FLA","Florida Panthers","https://a.espncdn.com/i/teamlogos/nhl/500/fla.png","#041E42","#c8102E","#B9975B",NA
"NSH","Nashville Predators","https://a.espncdn.com/i/teamlogos/nhl/500/nsh.png","#FFB81C","#041E42","#FFFFFF",NA
"TBL","Tampa Bay Lightning","https://a.espncdn.com/i/teamlogos/nhl/500/tb.png","#002868","#FFFFFF",NA,NA
"BOS","Boston Bruins","https://a.espncdn.com/i/teamlogos/nhl/500/bos.png","#FFB81C","#000000",NA,NA
"BUF","Buffalo Sabres","https://a.espncdn.com/i/teamlogos/nhl/500/buf.png","#002654","#FCB514","#ADAFAA","#c8102E"
"NJD","New Jersey Devils","https://a.espncdn.com/i/teamlogos/nhl/500/nj.png","#CE1126","#000000","#FFFFFF",NA
"NYI","New York Islanders","https://a.espncdn.com/i/teamlogos/nhl/500/nyi.png","#00539b","#f47d30",NA,NA
"NYR","New York Rangers","https://a.espncdn.com/i/teamlogos/nhl/500/nyr.png","#0038A8","#CE1126","#FFFFFF",NA
"PHI","Philadelphia Flyers","https://a.espncdn.com/i/teamlogos/nhl/500/phi.png","#F74902","#000000","#FFFFFF",NA
"PIT","Pittsburgh Penguins","https://a.espncdn.com/i/teamlogos/nhl/500/pit.png","#000000","#CFC493","#FCB514","#FFFFFF"
"WSH","Washington Capitals","https://a.espncdn.com/i/teamlogos/nhl/500/wsh.png","#041E42","#C8102E","#FFFFFF",NA
"CGY","Calgary Flames","https://a.espncdn.com/i/teamlogos/nhl/500/cgy.png","#c8102E","#F1BE48","#111111","#FFFFFF"
"EDM","Edmonton Oilers","https://a.espncdn.com/i/teamlogos/nhl/500/edm.png","#041E42","#FF4C00",NA,NA
"MTL","Montreal Canadiens","https://a.espncdn.com/i/teamlogos/nhl/500/mtl.png","#AF1E2D","#192168",NA,NA
"OTT","Ottawa Senators","https://a.espncdn.com/i/teamlogos/nhl/500/ott.png","#c52032","#C2912C","#000000","#FFFFFF"
"TOR","Toronto Maple Leafs","https://a.espncdn.com/i/teamlogos/nhl/500/tor.png","#00205b","#FFFFFF",NA,NA
"VAN","Vancouver Canucks","https://a.espncdn.com/i/teamlogos/nhl/500/van.png","#00205B","#00843d","#041C2C","#99999A"
"WPG","Winnipeg Jets","https://a.espncdn.com/i/teamlogos/nhl/500/wpg.png","#041E42","#004C97","#AC162C","#7B303E"
"ANA","Anaheim Ducks","https://a.espncdn.com/i/teamlogos/nhl/500/ana.png","#F47A38","#B9975B","#C1C6C8",NA
"ARI","Arizona Coyotes","https://a.espncdn.com/i/teamlogos/nhl/500/ari.png","#8C2633","#e2d6b5","#111111","#8C2633"
"COL","Colorado Avalanche","https://a.espncdn.com/i/teamlogos/nhl/500/col.png","#6F263D","#236192","#A2AAAD","#000000"
"LAK","Los Angeles Kings","https://a.espncdn.com/i/teamlogos/nhl/500/la.png","#111111","#A2AAAD","#FFFFFF","#572A84"
"MIN","Minnesota Wild","https://a.espncdn.com/i/teamlogos/nhl/500/min.png","#A6192E","#154734","#EAAA00","#DDCBA4"
"SJS","San Jose Sharks","https://a.espncdn.com/i/teamlogos/nhl/500/sj.png","#006D75","#EA7200","#000000","#FFFFFF"
"STL","St. Louis Blues","https://a.espncdn.com/i/teamlogos/nhl/500/stl.png","#002F87","#FCB514","#041E42","#FFFFFF"
"VEG","Vegas Golden Knights","https://a.espncdn.com/i/teamlogos/nhl/500/vgs.png","#B4975A","#333f42","#c8102E","#000000"
